Site,Latitude,Longitude,Continent,Vegetation,Plot,FireFreq,FireSeason,FireStart,FireLast,SurveyYear,Duration,Grass Cover,Percent Cover,Percent Basal Cover,Grass Basal Area,Biomass dry ,Grass biomass dry weight (10^3Kgha^-1),Grass Biomass Dry (tonnes/ha),Grass Biomass fresh weight,Grass biomass dry weight (g/m2)
Tiogo,12.22,-2.7,,,1_114_0_0,0,CONT,N/A,1993,1994,,83.2216,,,,,,,,
Tiogo,12.22,-2.7,,,2_208_0_0,0,CONT,N/A,1993,1994,,89.7438,,,,,,,,
Tiogo,12.22,-2.7,,,3_303_0_0,0,CONT,N/A,1993,1994,,93.2773,,,,,,,,
Tiogo,12.22,-2.7,,,4_415_0_0,0,CONT,N/A,1993,1994,,92.9488,,,,,,,,
Tiogo,12.22,-2.7,,,1_101_0_0,1,OCTNOV,1991,1993,1994,,96.3191,,,,,,,,
Tiogo,12.22,-2.7,,,2_201_0_0,1,OCTNOV,1991,1993,1994,,89.6227,,,,,,,,
Tiogo,12.22,-2.7,,,3_314_0_0,1,OCTNOV,1991,1993,1994,,49.4949,,,,,,,,
Tiogo,12.22,-2.7,,,4_408_0_0,1,OCTNOV,1991,1993,1994,,80.5755,,,,,,,,
Tiogo,12.22,-2.7,,,1_114_0_0,0,CONT,N/A,1994,1995,,96.2963,,,,,,,,
Tiogo,12.22,-2.7,,,2_208_0_0,0,CONT,N/A,1994,1995,,95.3271,,,,,,,,
Tiogo,12.22,-2.7,,,3_303_0_0,0,CONT,N/A,1994,1995,,90.7896,,,,,,,,
Tiogo,12.22,-2.7,,,4_415_0_0,0,CONT,N/A,1994,1995,,96.0396,,,,,,,,
Tiogo,12.22,-2.7,,,1_101_0_0,1,OCTNOV,1991,1994,1995,,90.6667,,,,,,,,
Tiogo,12.22,-2.7,,,2_201_0_0,1,OCTNOV,1991,1994,1995,,89.3617,,,,,,,,
Tiogo,12.22,-2.7,,,3_314_0_0,1,OCTNOV,1991,1994,1995,,93.1819,,,,,,,,
Tiogo,12.22,-2.7,,,4_408_0_0,1,OCTNOV,1991,1994,1995,,62.1052,,,,,,,,
Tiogo,12.22,-2.7,,,1_114_0_0,0,CONT,N/A,1995,1996,,95.2128,,,,,,,,
Tiogo,12.22,-2.7,,,2_208_0_0,0,CONT,N/A,1995,1996,,96.5987,,,,,,,,
Tiogo,12.22,-2.7,,,3_303_0_0,0,CONT,N/A,1995,1996,,93.4212,,,,,,,,
Tiogo,12.22,-2.7,,,4_415_0_0,0,CONT,N/A,1995,1996,,93.6937,,,,,,,,
Tiogo,12.22,-2.7,,,1_101_0_0,1,OCTNOV,1991,1995,1996,,86.7469,,,,,,,,
Tiogo,12.22,-2.7,,,2_201_0_0,1,OCTNOV,1991,1995,1996,,85.7141,,,,,,,,
Tiogo,12.22,-2.7,,,3_314_0_0,1,OCTNOV,1991,1995,1996,,71.6052,,,,,,,,
Tiogo,12.22,-2.7,,,4_408_0_0,1,OCTNOV,1991,1995,1996,,78.3216,,,,,,,,
Tiogo,12.22,-2.7,,,1_114_0_0,0,CONT,N/A,1996,1997,,94.0399,,,,,,,,
Tiogo,12.22,-2.7,,,2_208_0_0,0,CONT,N/A,1996,1997,,98.3471,,,,,,,,
Tiogo,12.22,-2.7,,,3_303_0_0,0,CONT,N/A,1996,1997,,92.6175,,,,,,,,
Tiogo,12.22,-2.7,,,4_415_0_0,0,CONT,N/A,1996,1997,,90,,,,,,,,
Tiogo,12.22,-2.7,,,1_101_0_0,1,OCTNOV,1991,1996,1997,,90.909,,,,,,,,
Tiogo,12.22,-2.7,,,2_201_0_0,1,OCTNOV,1991,1996,1997,,95.9183,,,,,,,,
Tiogo,12.22,-2.7,,,3_314_0_0,1,OCTNOV,1991,1996,1997,,75.5727,,,,,,,,
Tiogo,12.22,-2.7,,,4_408_0_0,1,OCTNOV,1991,1996,1997,,77.5701,,,,,,,,
Tiogo,12.22,-2.7,,,1_114_0_0,0,CONT,N/A,1997,1998,,94.2308,,,,,,,,
Tiogo,12.22,-2.7,,,2_208_0_0,0,CONT,N/A,1997,1998,,95.6205,,,,,,,,
Tiogo,12.22,-2.7,,,3_303_0_0,0,CONT,N/A,1997,1998,,85.7143,,,,,,,,
Tiogo,12.22,-2.7,,,4_415_0_0,0,CONT,N/A,1997,1998,,95.5056,,,,,,,,
Tiogo,12.22,-2.7,,,1_101_0_0,1,OCTNOV,1991,1997,1998,,96.8504,,,,,,,,
Tiogo,12.22,-2.7,,,2_201_0_0,1,OCTNOV,1991,1997,1998,,72.2222,,,,,,,,
Tiogo,12.22,-2.7,,,3_314_0_0,1,OCTNOV,1991,1997,1998,,59.7826,,,,,,,,
Tiogo,12.22,-2.7,,,4_408_0_0,1,OCTNOV,1991,1997,1998,,75.4902,,,,,,,,
Tiogo,12.22,-2.7,,,1_114_0_0,0,CONT,N/A,1998,1999,,90.9092,,,,,,,,
Tiogo,12.22,-2.7,,,2_208_0_0,0,CONT,N/A,1998,1999,,96.8255,,,,,,,,
Tiogo,12.22,-2.7,,,3_303_0_0,0,CONT,N/A,1998,1999,,100,,,,,,,,
Tiogo,12.22,-2.7,,,4_415_0_0,0,CONT,N/A,1998,1999,,99.9999,,,,,,,,
Tiogo,12.22,-2.7,,,1_101_0_0,1,OCTNOV,1991,1998,1999,,100,,,,,,,,
Tiogo,12.22,-2.7,,,2_201_0_0,1,OCTNOV,1991,1998,1999,,85.1239,,,,,,,,
Tiogo,12.22,-2.7,,,3_314_0_0,1,OCTNOV,1991,1998,1999,,69.6721,,,,,,,,
Tiogo,12.22,-2.7,,,4_408_0_0,1,OCTNOV,1991,1998,1999,,73.077,,,,,,,,
Tiogo,12.22,-2.7,,,1_114_0_0,0,CONT,N/A,1999,2000,,95.8525,,,,,,,,
Tiogo,12.22,-2.7,,,2_208_0_0,0,CONT,N/A,1999,2000,,99.5024,,,,,,,,
Tiogo,12.22,-2.7,,,3_303_0_0,0,CONT,N/A,1999,2000,,85.8976,,,,,,,,
Tiogo,12.22,-2.7,,,4_415_0_0,0,CONT,N/A,1999,2000,,100,,,,,,,,
Tiogo,12.22,-2.7,,,1_101_0_0,1,OCTNOV,1991,1999,2000,,94.1176,,,,,,,,
Tiogo,12.22,-2.7,,,2_201_0_0,1,OCTNOV,1991,1999,2000,,87.234,,,,,,,,
Tiogo,12.22,-2.7,,,3_314_0_0,1,OCTNOV,1991,1999,2000,,92.1428,,,,,,,,
Tiogo,12.22,-2.7,,,4_408_0_0,1,OCTNOV,1991,1999,2000,,96.1165,,,,,,,,
Tiogo,12.22,-2.7,,,1_114_0_0,0,CONT,N/A,2000,2001,,95.238,,,,,,,,
Tiogo,12.22,-2.7,,,2_208_0_0,0,CONT,N/A,2000,2001,,97.3822,,,,,,,,
Tiogo,12.22,-2.7,,,3_303_0_0,0,CONT,N/A,2000,2001,,79.6536,,,,,,,,
Tiogo,12.22,-2.7,,,4_415_0_0,0,CONT,N/A,2000,2001,,98.9795,,,,,,,,
Tiogo,12.22,-2.7,,,1_101_0_0,1,OCTNOV,1991,2000,2001,,95.0921,,,,,,,,
Tiogo,12.22,-2.7,,,2_201_0_0,1,OCTNOV,1991,2000,2001,,86.0466,,,,,,,,
Tiogo,12.22,-2.7,,,3_314_0_0,1,OCTNOV,1991,2000,2001,,80.6121,,,,,,,,
Tiogo,12.22,-2.7,,,4_408_0_0,1,OCTNOV,1991,2000,2001,,83.4644,,,,,,,,
Tiogo,12.22,-2.7,,,1_114_0_0,0,CONT,N/A,2001,2002,,80.5148,,,,,,,,
Tiogo,12.22,-2.7,,,2_208_0_0,0,CONT,N/A,2001,2002,,87.2483,,,,,,,,
Tiogo,12.22,-2.7,,,3_303_0_0,0,CONT,N/A,2001,2002,,67.3227,,,,,,,,
Tiogo,12.22,-2.7,,,4_415_0_0,0,CONT,N/A,2001,2002,,94.5205,,,,,,,,
Tiogo,12.22,-2.7,,,1_101_0_0,1,OCTNOV,1991,2001,2002,,90.2876,,,,,,,,
Tiogo,12.22,-2.7,,,2_201_0_0,1,OCTNOV,1991,2001,2002,,74.4527,,,,,,,,
Tiogo,12.22,-2.7,,,3_314_0_0,1,OCTNOV,1991,2001,2002,,86.331,,,,,,,,
Tiogo,12.22,-2.7,,,4_408_0_0,1,OCTNOV,1991,2001,2002,,82.9787,,,,,,,,
Tiogo,12.22,-2.7,,,1_114_0_0,0,CONT,N/A,2002,2003,,89.1474,,,,,,,,
Tiogo,12.22,-2.7,,,2_208_0_0,0,CONT,N/A,2002,2003,,90.5982,,,,,,,,
Tiogo,12.22,-2.7,,,3_303_0_0,0,CONT,N/A,2002,2003,,89.5028,,,,,,,,
Tiogo,12.22,-2.7,,,4_415_0_0,0,CONT,N/A,2002,2003,,100,,,,,,,,
Tiogo,12.22,-2.7,,,1_101_0_0,1,OCTNOV,1991,2002,2003,,95.3754,,,,,,,,
Tiogo,12.22,-2.7,,,2_201_0_0,1,OCTNOV,1991,2002,2003,,85.2942,,,,,,,,
Tiogo,12.22,-2.7,,,3_314_0_0,1,OCTNOV,1991,2002,2003,,88.5715,,,,,,,,
Tiogo,12.22,-2.7,,,4_408_0_0,1,OCTNOV,1991,2002,2003,,71.4284,,,,,,,,
Ukulinga,-29.67,30.4,,,A810C1_M,0.333,N/A,1950,2007,2010,,103.01,,,,,,,,
Ukulinga,-29.67,30.4,,,A810C2_M,0.333,N/A,1950,2007,2010,,40.78,,,,,,,,
Ukulinga,-29.67,30.4,,,A810C3_M,0.333,N/A,1950,2007,2010,,75.77,,,,,,,,
Ukulinga,-29.67,30.4,,,A310C1_A,1,N/A,1950,2009,2010,,109.91,,,,,,,,
Ukulinga,-29.67,30.4,,,A310C2_A,1,N/A,1950,2009,2010,,112.9,,,,,,,,
Ukulinga,-29.67,30.4,,,A310C3_A,1,N/A,1950,2009,2010,,96.13,,,,,,,,
Ukulinga,-29.67,30.4,,,A110C1_U,0,N/A,N/A,N/A,2010,,43.63,,,,,,,,
Ukulinga,-29.67,30.4,,,A110C2_U,0,N/A,N/A,N/A,2010,,14.27,,,,,,,,
Ukulinga,-29.67,30.4,,,A110C3_U,0,N/A,N/A,N/A,2010,,20.5,,,,,,,,
Yenisei,60,92,,,204_lichen_type,0.02314815,N/A,N/A,1951.5,1998,,0.5,,,,,,,,
Yenisei,60,92,,,383_lichen_type,0.02314815,N/A,N/A,1951.5,1998,,0.5,,,,,,,,
Yenisei,60,92,,,266_vaccinium_type,0.02415459,N/A,N/A,1961.7,1998,,0.5,,,,,,,,
Yenisei,60,92,,,53_vaccinium_type,0.02415459,N/A,N/A,1961.7,1998,,0.5,,,,,,,,
Yenisei,60,92,,,26_lichen_type,0.03984064,N/A,N/A,1976.3,1998,,12,,,,,,,,
Yenisei,60,92,,,14_lichen_type,0,N/A,N/A,1984,1998,,75,,,,,,,,
Yenisei,60,92,,,2_lichen_type,0,N/A,N/A,1996,1998,,0.5,,,,,,,,
Morton,41.817,-88.05,,,Burned_1,0.333333333,FALL,1986,2004,2007,,15,,,,,,,,
Morton,41.817,-88.05,,,Unburned_2,0,CONT,N/A,N/A,2007,,5,,,,,,,,
Okmulgee,35.633,-96.03,,,7,0.1052632,FEB-MAR,1996,2005,2008,,14.47857143,,,,,,,,
Okmulgee,35.633,-96.03,,,3,0.2105263,FEB-MAR,1991,2005,2008,,46.5281746,,,,,,,,
Okmulgee,35.633,-96.03,,,10,0.3157895,FEB-MAR,1992,2005,2008,,70.43838002,,,,,,,,
Okmulgee,35.633,-96.03,,,7,0.1052632,FEB-MAR,1989,2007,2008,,1,,,,,,,,
Okmulgee,35.633,-96.03,,,2,0.2631579,FEB-MAR,1992,2007,2008,,61.35195707,,,,,,,,
Okmulgee,35.633,-96.03,,,1,0.5263158,FEB-MAR,1989,2007,2008,,38.18252442,,,,,,,,
Okmulgee,35.633,-96.03,,,6,0.2105263,FEB-MAR,1993,2008,2008,,39.56128472,,,,,,,,
Okmulgee,35.633,-96.03,,,4,0.3684211,FEB-MAR,1992,2008,2008,,26.84598214,,,,,,,,
Okmulgee,35.633,-96.03,,,13,0,CONT,N/A,N/A,2008,,19.09970238,,,,,,,,
KrugerSatara,-24.401,31.746,,,SAMA,0.3333333,AUG,1954,2010,N/A,,139.5231341,,,,,,,,
KrugerSatara,-24.401,31.746,,,SANW,0.3333333,AUG,1954,2010,N/A,,90.16672567,,,,,,,,
KrugerSatara,-24.401,31.746,,,SASA,0.3333333,AUG,1954,2010,N/A,,162.6700593,,,,,,,,
KrugerSatara,-24.401,31.746,,,SAMA,1,AUG,1954,2010,N/A,,142.1486099,,,,,,,,
KrugerSatara,-24.401,31.746,,,SANW,1,AUG,1954,2010,N/A,,76.68763031,,,,,,,,
KrugerSatara,-24.401,31.746,,,SASA,1,AUG,1954,2010,N/A,,110.1506736,,,,,,,,
KrugerSatara,-24.401,31.746,,,SAMA,0,CONT,N/A,N/A,N/A,,179.3704157,,,,,,,,
KrugerSatara,-24.401,31.746,,,SANW,0,CONT,N/A,N/A,N/A,,170.4974124,,,,,,,,
KrugerSatara,-24.401,31.746,,,SASA,0,CONT,N/A,N/A,N/A,,164.6858344,,,,,,,,
LaPampa,-38.75,-63.75,,,1,0.1764706,MAR-JUN,1991,2007,N/A,,19.5,,,,,,,,
LaPampa,-38.75,-63.75,,,2,0.1764706,MAR-JUN,1991,2007,N/A,,23.65,,,,,,,,
LaPampa,-38.75,-63.75,,,3,0.1764706,MAR-JUN,1991,2007,N/A,,6.95,,,,,,,,
LaPampa,-38.75,-63.75,,,4,0.1764706,MAR-JUN,1991,2007,N/A,,25.725,,,,,,,,
